run_idx,model_type,latent_dim,hidden_dim,latent_scale,best_int_loss,final_int_loss,final_loss,epochs_ran,num_params
128,linear_then_conv,8,512,16,0.013054665868878365,0.013054665868878365,0.0026923429064452647,20,852777
64,conv_then_linear,8,512,16,0.013821965236961841,0.014084160014688969,0.004025986467599869,11,1373353
112,linear_then_conv,6,512,16,0.017102570446133614,0.017175860763788225,0.004973596204072237,18,850727
48,conv_then_linear,6,512,16,0.01766417644381523,0.018097483758330344,0.006391012407690287,12,1371303
124,linear_then_conv,8,256,16,0.0189814835113287,0.01898430083155632,0.010877154458463193,20,254361
60,conv_then_linear,8,256,16,0.020089989319443703,0.020154384359717368,0.011615359759032726,12,346201
44,conv_then_linear,6,256,16,0.02118600163757801,0.021523157860040665,0.011647020612955094,15,345175
108,linear_then_conv,6,256,16,0.02282077442765236,0.022906100197434425,0.01227805668413639,18,253335
120,linear_then_conv,8,128,16,0.024910521075129508,0.024910521075129508,0.01532997149825096,20,84177
188,mlp_only,8,256,16,0.025331124019026756,0.025331124019026756,0.01074036472350359,20,158516
32,conv_then_linear,4,512,16,0.026401281458735465,0.026683269991874696,0.009740750562548637,9,1369253
96,linear_then_conv,4,512,16,0.026611250893473624,0.027365391336679458,0.007349265660047531,18,848677
172,mlp_only,6,256,16,0.026856886250376702,0.026856886250376702,0.013309726342856884,20,157490
63,conv_then_linear,8,512,8,0.027113735235333444,0.02794827879011631,0.006229386764764786,8,1373353
184,mlp_only,8,128,16,0.02749010187804699,0.02749010187804699,0.0165197984957695,20,79412
52,conv_then_linear,8,64,16,0.027506255893707275,0.028630686606764794,0.015859784657657146,20,45873
192,mlp_only,8,512,16,0.028189259219765662,0.028189259219765662,0.006594303416758776,20,316724
116,linear_then_conv,8,64,16,0.028481415835618973,0.02893887142300606,0.01725687295138836,14,43345
127,linear_then_conv,8,512,8,0.028792107492089273,0.02944153653025627,0.005417793726176024,11,852777
92,linear_then_conv,4,256,16,0.02894769888341427,0.029271434219479562,0.014906312227547168,14,252309
168,mlp_only,6,128,16,0.029174004932641984,0.029174004932641984,0.0183698044270277,20,78898
36,conv_then_linear,6,64,16,0.03071593656897545,0.03162146578073501,0.019700435683131217,15,45615
40,conv_then_linear,6,128,16,0.03082629494071007,0.03307650222182274,0.019938070516586304,11,87471
56,conv_then_linear,8,128,16,0.030887468401193618,0.031528555904626845,0.020737233291864395,15,87985
47,conv_then_linear,6,512,8,0.031437029979228974,0.0320917817389965,0.007191762772798538,11,1371303
176,mlp_only,6,512,16,0.03263921689987183,0.03299955603837967,0.009629408768117428,19,314674
28,conv_then_linear,4,256,16,0.032849550530910494,0.03409839033722877,0.0162256398075819,11,344149
59,conv_then_linear,8,256,8,0.033149514586925506,0.03356888258337975,0.010814178260862827,19,346201
123,linear_then_conv,8,256,8,0.03363903691649437,0.033769358954429625,0.013211672814786433,11,254361
88,linear_then_conv,4,128,16,0.03446840122818947,0.03446840122818947,0.018761052765250207,20,83149
55,conv_then_linear,8,128,8,0.036700436022281645,0.03827742851257324,0.018373737495541574,11,87985
43,conv_then_linear,6,256,8,0.037623465715646745,0.03882417749643326,0.013389805458188056,10,345175
180,mlp_only,8,64,16,0.038940202465057375,0.038940202465057375,0.027350111502408982,20,39860
104,linear_then_conv,6,128,16,0.04046982181310654,0.04147850784420967,0.026397308160066604,14,83663
119,linear_then_conv,8,128,8,0.04052323833703995,0.04073014834284783,0.01846029355287552,11,84177
111,linear_then_conv,6,512,8,0.040643780428171156,0.04155864015340805,0.009114917294085026,9,850727
164,mlp_only,6,64,16,0.041644119154214856,0.041644119154214856,0.030959502335190774,20,39602
100,linear_then_conv,6,64,16,0.042333773560523986,0.04322658825993538,0.02564905709326267,11,43087
187,mlp_only,8,256,8,0.044369826611280444,0.04467245690941811,0.011581579555571079,16,158516
156,mlp_only,4,256,16,0.044616000201702116,0.044616000201702116,0.019210587713122368,20,156464
152,mlp_only,4,128,16,0.044625532619953154,0.044625532619953154,0.029154846791028977,20,78384
20,conv_then_linear,4,64,16,0.04551350060582161,0.045961615436077116,0.03133751889467239,13,45357
183,mlp_only,8,128,8,0.04564840898990631,0.04564767433285713,0.015782999697327615,20,79412
115,linear_then_conv,8,64,8,0.04600167013287544,0.04804440128684044,0.022369939284920693,10,43345
107,linear_then_conv,6,256,8,0.046027409633398055,0.0464488275885582,0.015238172944188118,12,253335
35,conv_then_linear,6,64,8,0.04735251843094826,0.050624262681007386,0.022772856399416924,11,45615
91,linear_then_conv,4,256,8,0.04770753881931305,0.049127691724300385,0.016134910160303117,12,252309
51,conv_then_linear,8,64,8,0.04890133004307747,0.0491761271739006,0.021829429446458815,11,45873
31,conv_then_linear,4,512,8,0.049094323645830155,0.05329954828262329,0.011911331286132336,7,1369253
191,mlp_only,8,512,8,0.049136528842449186,0.04925554182291031,0.006943784674853086,20,316724
175,mlp_only,6,512,8,0.0493324792599678,0.0504962546646595,0.010490556716322898,13,314674
39,conv_then_linear,6,128,8,0.04935877359032631,0.05137657879114151,0.02240538821876049,10,87471
24,conv_then_linear,4,128,16,0.050318163466453555,0.05215504801154137,0.03535866406202316,10,86957
167,mlp_only,6,128,8,0.050642747601270674,0.05106479368805885,0.019470038509368896,18,78898
171,mlp_only,6,256,8,0.05095485276460648,0.0513692468893528,0.017426843052506448,10,157490
84,linear_then_conv,4,64,16,0.051237431797981264,0.051704688452482224,0.036094948263168336,12,42829
