run_idx,model_type,hidden_dim,latent_scale,latent_dim,num_states,final_int_loss,best_int_loss,epochs_ran,num_params
10,conv_then_linear,128,20,3,8000,0.0496338831615448,0.04960426129102707,15,86700
4,conv_then_linear,128,16,3,4096,0.05604790826201439,0.05512870010614395,15,86700
11,conv_then_linear,128,100,2,10000,0.06209724209547043,0.06209724209547043,20,86443
8,conv_then_linear,128,6,5,7776,0.06453247286558152,0.06322197411775589,10,87214
9,conv_then_linear,128,9,4,6561,0.07765581790924073,0.06354833760499955,8,86957
5,conv_then_linear,128,64,2,4096,0.06575084728717805,0.06461116696596146,19,86443
3,conv_then_linear,128,8,4,4096,0.07538876523494721,0.06977594267129898,8,86957
15,conv_then_linear,128,7,4,2401,0.07934994192123412,0.07664208507537842,7,86957
14,conv_then_linear,128,5,5,3125,0.08720824660778045,0.08092465368986129,8,87214
13,conv_then_linear,128,3,8,6561,0.10879094587326049,0.10527473424673081,6,87985
2,conv_then_linear,128,4,6,4096,0.11334661134004594,0.10674660130262374,7,87471
6,conv_then_linear,128,4096,1,4096,0.14890640139102937,0.14890640139102937,20,86186
12,conv_then_linear,128,10000,1,10000,0.21616093217372895,0.18693136092662813,8,86186
1,conv_then_linear,128,2,12,4096,0.2892959773349762,0.2410531894350052,7,89013
7,conv_then_linear,128,2,13,8192,0.27533119773864745,0.2585117009162903,6,89270
